KGWL-TV     |-         |DT |7   |DA  |                    |2  |-  |LIC    |LANDER                   |WY |US |BLCDT  -20080915ABT |14.3   kW |-         |113.0   |-       |63162      |N |42 |53 |43.00 |W |108 |43 |34.00 |MARK III MEDIA, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |1809.  m|H       |84568     |65.     |-       |27.     |1265472   |
KAKM        |-         |DT |8   |DA  |                    |2  |-  |LIC    |ANCHORAGE                |AK |US |BMLEDT -20080325ADD |50.    kW |-         |240.0   |-       |804        |N |61 |25 |22.00 |W |149 |52 |20.00 |ALASKA PUBLIC TELECOMMUNICATIONS, INC                                       |   0.00 km |   0.00 mi |  0.00 deg |271.2  m|H       |67943     |0.      |1007418 |236.    |1239705   |
KAET        |-         |DT |8   |ND  |                    |2  |-  |LIC    |PHOENIX                  |AZ |US |BLEDT  -20090612AEF |40.    kW |-         |549.0   |-       |2728       |N |33 |20 |0.00  |W |112 |3  |49.00 |ARIZONA BOARD OF REGENTS                                                    |   0.00 km |   0.00 mi |  0.00 deg |912.   m|H       |92516     |-       |1001134 |94.     |1316399   |
KAIT        |-         |DT |8   |ND  |                    |2  |-  |LIC    |JONESBORO                |AR |US |BLCDT  -20090803ABV |28.2   kW |-         |531.0   |-       |13988      |N |35 |53 |22.00 |W |90  |56 |8.00  |KAIT LICENSE SUBSIDIARY, LLC                                                |   0.00 km |   0.00 mi |  0.00 deg |608.   m|H       |87353     |-       |1064518 |530.    |1325585   |
KFMB-TV     |-         |DT |8   |ND  |                    |2  |-  |LIC    |SAN DIEGO                |CA |US |BLCDT  -20090604ACB |14.87  kW |-         |227.0   |-       |42122      |N |32 |50 |16.80 |W |117 |14 |56.90 |MIDWEST TELEVISION, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |309.   m|H       |85393     |-       |1014527 |75.7    |1305645   |
KBQR        |-         |DT |8   |DA  |                    |2  |-  |LIC    |FORT BRAGG               |CA |US |BLCDT  -20090610AAS |26.    kW |-         |744.0   |-       |8378       |N |39 |41 |38.00 |W |123 |34 |43.00 |JEFF CHANG                                                                  |   0.00 km |   0.00 mi |  0.00 deg |1326.  m|H       |84907     |0.      |-       |51.     |1316192   |
KSBW        |-         |DT |8   |ND  |                    |2  |-  |LIC    |SALINAS                  |CA |US |BLCDT  -20090901ACY |20.6   kW |-         |760.0   |-       |19653      |N |36 |45 |23.00 |W |121 |30 |5.00  |HEARST STATIONS INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |1048.  m|E       |86740     |-       |1215158 |110.    |1331439   |
KTSC        |-         |DT |8   |DA  |                    |2  |-  |LIC    |PUEBLO                   |CO |US |BLEDT  -20090612AAM |22.4   kW |-         |720.0   |-       |69170      |N |38 |44 |43.00 |W |104 |51 |39.00 |ROCKY MOUNTAIN PUBLIC BROADCASTING NETWORK, INC.                            |   0.00 km |   0.00 mi |  0.00 deg |2966.  m|H       |91830     |0.      |1025328 |98.     |1313422   |
WSVN        |-         |DT |8   |ND  |                    |3  |-  |LIC    |MIAMI/FT. LAUDERDALE     |FL |US |BLCDT  -19991028AGA |14.4   kW |-         |291.0   |-       |63840      |N |25 |57 |49.00 |W |80  |12 |44.00 |SUNBEAM TELEVISION CORPORATION                                              |   0.00 km |   0.00 mi |  0.00 deg |293.   m|H       |30332     |-       |1028955 |291.    |428164    |
WJHG-TV     |-         |DT |8   |DA  |                    |3  |-  |LIC    |PANAMA CITY              |FL |US |BLCDT  -20041025ACH |52.    kW |-         |244.0   |-       |73136      |N |30 |26 |0.00  |W |85  |24 |51.00 |GRAY TELEVISION LICENSEE, LLC                                               |   0.00 km |   0.00 mi |  0.00 deg |283.   m|H       |44322     |0.      |1029017 |240.7   |1021579   |
WGEN-TV     |-         |DT |8   |DA  |                    |3  |-  |LIC    |KEY WEST                 |FL |US |BLCDT  -20090619ACO |7.     kW |-         |55.9    |-       |27387      |N |24 |33 |18.00 |W |81  |48 |5.00  |MAPALE LLC                                                                  |   0.00 km |   0.00 mi |  0.00 deg |55.9   m|H       |86600     |60.     |1030880 |52.5    |1318496   |
WACS-TV     |-         |DT |8   |DA  |                    |3  |-  |LIC    |DAWSON                   |GA |US |BLEDT  -20080516AAO |4.7    kW |-         |333.0   |-       |23930      |N |31 |56 |15.00 |W |84  |33 |15.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |465.   m|H       |84968     |0.      |1018782 |322.    |1245762   |
WGTV        |-         |DT |8   |ND  |                    |2  |-  |LIC    |ATHENS                   |GA |US |BLEDT  -20090612ACE |21.    kW |-         |330.0   |-       |23948      |N |33 |48 |18.00 |W |84  |8  |40.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |606.5  m|H       |87558     |-       |1018776 |110.1   |1291446   |
WXGA-TV     |-         |DT |8   |ND  |                    |3  |-  |LIC    |WAYCROSS                 |GA |US |BLEDT  -20090612ACD |35.3   kW |-         |308.0   |-       |23929      |N |31 |13 |17.00 |W |82  |34 |24.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |357.5  m|H       |87560     |-       |1018780 |308.8   |1291452   |
